epoch: 000 | Cost: 18724.403 | Train/Valid Acc: 0.8073/0.8362
epoch: 001 | Cost: 17716.135 | Train/Valid Acc: 0.8556/0.8782
epoch: 002 | Cost: 16763.863 | Train/Valid Acc: 0.8777/0.8970
epoch: 003 | Cost: 15863.648 | Train/Valid Acc: 0.8919/0.9076
epoch: 004 | Cost: 15012.340 | Train/Valid Acc: 0.9033/0.9158
epoch: 005 | Cost: 14207.140 | Train/Valid Acc: 0.9106/0.9234
epoch: 006 | Cost: 13445.449 | Train/Valid Acc: 0.9177/0.9264
epoch: 007 | Cost: 12724.865 | Train/Valid Acc: 0.9230/0.9304
epoch: 008 | Cost: 12043.118 | Train/Valid Acc: 0.9287/0.9352
epoch: 009 | Cost: 11398.101 | Train/Valid Acc: 0.9332/0.9376
epoch: 010 | Cost: 10787.796 | Train/Valid Acc: 0.9357/0.9404
epoch: 011 | Cost: 10210.315 | Train/Valid Acc: 0.9410/0.9416
epoch: 012 | Cost: 9663.897 | Train/Valid Acc: 0.9429/0.9436
epoch: 013 | Cost: 9146.853 | Train/Valid Acc: 0.9448/0.9436
epoch: 014 | Cost: 8657.585 | Train/Valid Acc: 0.9481/0.9460
epoch: 015 | Cost: 8194.604 | Train/Valid Acc: 0.9499/0.9490
epoch: 016 | Cost: 7756.491 | Train/Valid Acc: 0.9522/0.9488
epoch: 017 | Cost: 7341.906 | Train/Valid Acc: 0.9531/0.9492
epoch: 018 | Cost: 6949.574 | Train/Valid Acc: 0.9555/0.9522
epoch: 019 | Cost: 6578.314 | Train/Valid Acc: 0.9563/0.9540
epoch: 020 | Cost: 6226.972 | Train/Valid Acc: 0.9586/0.9564
epoch: 021 | Cost: 5894.496 | Train/Valid Acc: 0.9594/0.9560
epoch: 022 | Cost: 5579.857 | Train/Valid Acc: 0.9611/0.9558
epoch: 023 | Cost: 5282.109 | Train/Valid Acc: 0.9611/0.9568
epoch: 024 | Cost: 5000.330 | Train/Valid Acc: 0.9621/0.9596
epoch: 025 | Cost: 4733.665 | Train/Valid Acc: 0.9633/0.9592
epoch: 026 | Cost: 4481.316 | Train/Valid Acc: 0.9637/0.9584
epoch: 027 | Cost: 4242.491 | Train/Valid Acc: 0.9659/0.9616
epoch: 028 | Cost: 4016.481 | Train/Valid Acc: 0.9670/0.9618
epoch: 029 | Cost: 3802.604 | Train/Valid Acc: 0.9676/0.9620
epoch: 030 | Cost: 3600.209 | Train/Valid Acc: 0.9685/0.9624
epoch: 031 | Cost: 3408.664 | Train/Valid Acc: 0.9689/0.9650
epoch: 032 | Cost: 3227.396 | Train/Valid Acc: 0.9687/0.9634
epoch: 033 | Cost: 3055.851 | Train/Valid Acc: 0.9705/0.9654
epoch: 034 | Cost: 2893.507 | Train/Valid Acc: 0.9711/0.9664
epoch: 035 | Cost: 2739.878 | Train/Valid Acc: 0.9720/0.9658
epoch: 036 | Cost: 2594.496 | Train/Valid Acc: 0.9723/0.9672
epoch: 037 | Cost: 2456.907 | Train/Valid Acc: 0.9735/0.9676
epoch: 038 | Cost: 2326.714 | Train/Valid Acc: 0.9741/0.9704
epoch: 039 | Cost: 2203.496 | Train/Valid Acc: 0.9746/0.9696
epoch: 040 | Cost: 2086.901 | Train/Valid Acc: 0.9752/0.9702
epoch: 041 | Cost: 1976.563 | Train/Valid Acc: 0.9759/0.9704
epoch: 042 | Cost: 1872.147 | Train/Valid Acc: 0.9762/0.9696
epoch: 043 | Cost: 1773.338 | Train/Valid Acc: 0.9767/0.9718
epoch: 044 | Cost: 1679.839 | Train/Valid Acc: 0.9772/0.9708
epoch: 045 | Cost: 1591.359 | Train/Valid Acc: 0.9777/0.9730
epoch: 046 | Cost: 1507.639 | Train/Valid Acc: 0.9778/0.9726
epoch: 047 | Cost: 1428.415 | Train/Valid Acc: 0.9777/0.9732
epoch: 048 | Cost: 1353.448 | Train/Valid Acc: 0.9784/0.9740
epoch: 049 | Cost: 1282.510 | Train/Valid Acc: 0.9788/0.9736
epoch: 050 | Cost: 1215.385 | Train/Valid Acc: 0.9792/0.9742
epoch: 051 | Cost: 1151.877 | Train/Valid Acc: 0.9792/0.9742
epoch: 052 | Cost: 1091.785 | Train/Valid Acc: 0.9797/0.9756
epoch: 053 | Cost: 1034.920 | Train/Valid Acc: 0.9799/0.9756
epoch: 054 | Cost: 981.120 | Train/Valid Acc: 0.9800/0.9736
epoch: 055 | Cost: 930.218 | Train/Valid Acc: 0.9797/0.9750
epoch: 056 | Cost: 882.047 | Train/Valid Acc: 0.9810/0.9762
epoch: 057 | Cost: 836.480 | Train/Valid Acc: 0.9806/0.9770
epoch: 058 | Cost: 793.361 | Train/Valid Acc: 0.9812/0.9770
epoch: 059 | Cost: 752.570 | Train/Valid Acc: 0.9806/0.9760
epoch: 060 | Cost: 713.975 | Train/Valid Acc: 0.9816/0.9778
epoch: 061 | Cost: 677.460 | Train/Valid Acc: 0.9817/0.9772
epoch: 062 | Cost: 642.915 | Train/Valid Acc: 0.9822/0.9794
epoch: 063 | Cost: 610.233 | Train/Valid Acc: 0.9823/0.9788
epoch: 064 | Cost: 579.315 | Train/Valid Acc: 0.9823/0.9774
epoch: 065 | Cost: 550.069 | Train/Valid Acc: 0.9826/0.9802
epoch: 066 | Cost: 522.402 | Train/Valid Acc: 0.9825/0.9786
epoch: 067 | Cost: 496.230 | Train/Valid Acc: 0.9815/0.9782
epoch: 068 | Cost: 471.467 | Train/Valid Acc: 0.9817/0.9776
epoch: 069 | Cost: 448.042 | Train/Valid Acc: 0.9830/0.9792
epoch: 070 | Cost: 425.895 | Train/Valid Acc: 0.9820/0.9802
epoch: 071 | Cost: 404.934 | Train/Valid Acc: 0.9832/0.9804
epoch: 072 | Cost: 385.107 | Train/Valid Acc: 0.9831/0.9800
epoch: 073 | Cost: 366.351 | Train/Valid Acc: 0.9829/0.9786
epoch: 074 | Cost: 348.618 | Train/Valid Acc: 0.9823/0.9796
epoch: 075 | Cost: 331.840 | Train/Valid Acc: 0.9822/0.9790
epoch: 076 | Cost: 315.964 | Train/Valid Acc: 0.9832/0.9806
epoch: 077 | Cost: 300.950 | Train/Valid Acc: 0.9836/0.9810
epoch: 078 | Cost: 286.748 | Train/Valid Acc: 0.9835/0.9800
epoch: 079 | Cost: 273.328 | Train/Valid Acc: 0.9823/0.9800
epoch: 080 | Cost: 260.623 | Train/Valid Acc: 0.9828/0.9800
epoch: 081 | Cost: 248.617 | Train/Valid Acc: 0.9815/0.9786
epoch: 082 | Cost: 237.237 | Train/Valid Acc: 0.9834/0.9806
epoch: 083 | Cost: 226.486 | Train/Valid Acc: 0.9842/0.9822
epoch: 084 | Cost: 216.323 | Train/Valid Acc: 0.9838/0.9812
epoch: 085 | Cost: 206.704 | Train/Valid Acc: 0.9840/0.9816
epoch: 086 | Cost: 197.601 | Train/Valid Acc: 0.9838/0.9802
epoch: 087 | Cost: 189.000 | Train/Valid Acc: 0.9826/0.9804
epoch: 088 | Cost: 180.857 | Train/Valid Acc: 0.9835/0.9812
epoch: 089 | Cost: 173.153 | Train/Valid Acc: 0.9841/0.9820
epoch: 090 | Cost: 165.875 | Train/Valid Acc: 0.9842/0.9828
epoch: 091 | Cost: 158.997 | Train/Valid Acc: 0.9841/0.9830
epoch: 092 | Cost: 152.475 | Train/Valid Acc: 0.9841/0.9814
epoch: 093 | Cost: 146.314 | Train/Valid Acc: 0.9849/0.9822
epoch: 094 | Cost: 140.496 | Train/Valid Acc: 0.9842/0.9828
epoch: 095 | Cost: 134.980 | Train/Valid Acc: 0.9839/0.9820
epoch: 096 | Cost: 129.766 | Train/Valid Acc: 0.9839/0.9804
epoch: 097 | Cost: 124.832 | Train/Valid Acc: 0.9837/0.9838
epoch: 098 | Cost: 120.162 | Train/Valid Acc: 0.9845/0.9836
epoch: 099 | Cost: 115.748 | Train/Valid Acc: 0.9835/0.9822
epoch: 100 | Cost: 111.567 | Train/Valid Acc: 0.9837/0.9820
epoch: 101 | Cost: 107.616 | Train/Valid Acc: 0.9833/0.9834
